tweet_id,dog_breed,timestamp,rating_numerator,rating_denominator,name,year,dog_stage,favourite_count,retweet_count
666020888022790149,Welsh_springer_spaniel,2015-11-15 22:32:08+00:00,8.0,10.0,None,2015.0,None,2535.0,532.0
666029285002620928,redbone,2015-11-15 23:05:30+00:00,7.0,10.0,None,2015.0,None,132.0,48.0
666033412701032449,German_shepherd,2015-11-15 23:21:54+00:00,9.0,10.0,None,2015.0,None,128.0,47.0
666044226329800704,Rhodesian_ridgeback,2015-11-16 00:04:52+00:00,6.0,10.0,None,2015.0,None,311.0,147.0
666049248165822465,miniature_pinscher,2015-11-16 00:24:50+00:00,5.0,10.0,None,2015.0,None,111.0,41.0
666050758794694657,Bernese_mountain_dog,2015-11-16 00:30:50+00:00,10.0,10.0,None,2015.0,None,136.0,60.0
666055525042405380,chow,2015-11-16 00:49:46+00:00,10.0,10.0,None,2015.0,None,448.0,261.0
666057090499244032,golden_retriever,2015-11-16 00:55:59+00:00,9.0,10.0,None,2015.0,None,304.0,146.0
666058600524156928,miniature_poodle,2015-11-16 01:01:59+00:00,8.0,10.0,None,2015.0,None,115.0,61.0
666063827256086533,golden_retriever,2015-11-16 01:22:45+00:00,10.0,10.0,None,2015.0,None,496.0,232.0
666071193221509120,Gordon_setter,2015-11-16 01:52:02+00:00,9.0,10.0,None,2015.0,None,154.0,67.0
666073100786774016,Walker_hound,2015-11-16 01:59:36+00:00,10.0,10.0,None,2015.0,None,335.0,174.0
666082916733198337,pug,2015-11-16 02:38:37+00:00,6.0,10.0,None,2015.0,None,121.0,47.0
666094000022159362,bloodhound,2015-11-16 03:22:39+00:00,9.0,10.0,None,2015.0,None,169.0,79.0
666099513787052032,Lhasa,2015-11-16 03:44:34+00:00,8.0,10.0,None,2015.0,None,164.0,73.0
666102155909144576,English_setter,2015-11-16 03:55:04+00:00,11.0,10.0,None,2015.0,None,81.0,16.0
666273097616637952,Italian_greyhound,2015-11-16 15:14:19+00:00,11.0,10.0,None,2015.0,None,184.0,82.0
666287406224695296,Maltese_dog,2015-11-16 16:11:11+00:00,1.0,2.0,None,2015.0,None,152.0,71.0
666337882303524864,Newfoundland,2015-11-16 19:31:45+00:00,9.0,10.0,None,2015.0,None,204.0,96.0
666345417576210432,golden_retriever,2015-11-16 20:01:42+00:00,10.0,10.0,None,2015.0,None,307.0,146.0
666353288456101888,malamute,2015-11-16 20:32:58+00:00,8.0,10.0,None,2015.0,None,229.0,77.0
666373753744588802,soft-coated_wheaten_terrier,2015-11-16 21:54:18+00:00,11.0,10.0,None,2015.0,None,194.0,100.0
666396247373291520,Chihuahua,2015-11-16 23:23:41+00:00,9.0,10.0,None,2015.0,None,172.0,92.0
666407126856765440,black-and-tan_coonhound,2015-11-17 00:06:54+00:00,7.0,10.0,None,2015.0,None,113.0,44.0
666418789513326592,toy_terrier,2015-11-17 00:53:15+00:00,10.0,10.0,Walter,2015.0,None,129.0,48.0
666421158376562688,Blenheim_spaniel,2015-11-17 01:02:40+00:00,12.0,10.0,None,2015.0,None,327.0,118.0
666428276349472768,Pembroke,2015-11-17 01:30:57+00:00,7.0,10.0,None,2015.0,None,171.0,90.0
666430724426358785,Irish_terrier,2015-11-17 01:40:41+00:00,6.0,10.0,None,2015.0,None,330.0,204.0
666435652385423360,Chesapeake_Bay_retriever,2015-11-17 02:00:15+00:00,10.0,10.0,None,2015.0,None,170.0,54.0
666437273139982337,Chihuahua,2015-11-17 02:06:42+00:00,7.0,10.0,None,2015.0,None,131.0,52.0
666447344410484738,curly-coated_retriever,2015-11-17 02:46:43+00:00,9.0,10.0,Scout,2015.0,None,107.0,23.0
666454714377183233,dalmatian,2015-11-17 03:16:00+00:00,10.0,10.0,Kreggory,2015.0,None,545.0,223.0
666644823164719104,Ibizan_hound,2015-11-17 15:51:26+00:00,9.0,10.0,Jimothy,2015.0,None,238.0,88.0
666649482315059201,Border_collie,2015-11-17 16:09:56+00:00,4.0,10.0,None,2015.0,None,923.0,608.0
666691418707132416,German_shepherd,2015-11-17 18:56:35+00:00,8.0,10.0,Christoper,2015.0,None,196.0,51.0
666701168228331520,Labrador_retriever,2015-11-17 19:35:19+00:00,8.0,10.0,None,2015.0,None,449.0,234.0
666739327293083650,miniature_poodle,2015-11-17 22:06:57+00:00,10.0,10.0,Lugan,2015.0,None,244.0,71.0
666776908487630848,miniature_pinscher,2015-11-18 00:36:17+00:00,5.0,10.0,Josep,2015.0,None,368.0,186.0
666781792255496192,Italian_greyhound,2015-11-18 00:55:42+00:00,10.0,10.0,None,2015.0,None,404.0,211.0
666804364988780544,English_setter,2015-11-18 02:25:23+00:00,8.0,10.0,Jockson,2015.0,None,250.0,95.0
666817836334096384,miniature_schnauzer,2015-11-18 03:18:55+00:00,9.0,10.0,Jeph,2015.0,None,540.0,267.0
666826780179869698,Maltese_dog,2015-11-18 03:54:28+00:00,12.0,10.0,None,2015.0,None,266.0,105.0
666835007768551424,Airedale,2015-11-18 04:27:09+00:00,10.0,10.0,None,2015.0,None,222.0,83.0
666996132027977728,Rottweiler,2015-11-18 15:07:24+00:00,10.0,10.0,Carll,2015.0,None,258.0,102.0
667044094246576128,golden_retriever,2015-11-18 18:17:59+00:00,12.0,10.0,None,2015.0,None,198.0,54.0
667062181243039745,Chesapeake_Bay_retriever,2015-11-18 19:29:52+00:00,10.0,10.0,Keet,2015.0,None,227.0,57.0
667073648344346624,Chihuahua,2015-11-18 20:15:26+00:00,10.0,10.0,Dave,2015.0,None,425.0,134.0
667090893657276420,Chihuahua,2015-11-18 21:23:57+00:00,7.0,10.0,Clybe,2015.0,None,349.0,132.0
667119796878725120,Pembroke,2015-11-18 23:18:48+00:00,10.0,10.0,Gabe,2015.0,None,346.0,135.0
667138269671505920,West_Highland_white_terrier,2015-11-19 00:32:12+00:00,10.0,10.0,None,2015.0,None,4851.0,2387.0
667152164079423490,toy_poodle,2015-11-19 01:27:25+00:00,12.0,10.0,Pipsy,2015.0,None,49720.0,18285.0
667160273090932737,golden_retriever,2015-11-19 01:59:39+00:00,11.0,10.0,Bradlay,2015.0,None,268.0,66.0
667165590075940865,miniature_pinscher,2015-11-19 02:20:46+00:00,10.0,10.0,Churlie,2015.0,None,2819.0,1241.0
667171260800061440,giant_schnauzer,2015-11-19 02:43:18+00:00,10.0,10.0,Kenneth,2015.0,None,235.0,97.0
667174963120574464,toy_poodle,2015-11-19 02:58:01+00:00,9.0,10.0,Clarence,2015.0,None,262.0,88.0
667176164155375616,soft-coated_wheaten_terrier,2015-11-19 03:02:47+00:00,4.0,10.0,None,2015.0,None,640.0,484.0
667177989038297088,vizsla,2015-11-19 03:10:02+00:00,8.0,10.0,None,2015.0,None,200.0,58.0
667182792070062081,golden_retriever,2015-11-19 03:29:07+00:00,10.0,10.0,Timison,2015.0,None,15075.0,6618.0
667192066997374976,Rottweiler,2015-11-19 04:05:59+00:00,12.0,10.0,None,2015.0,None,414.0,115.0
